entry_id,smiles,cation_family,anion_family,value
XUHjQ,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,imidazolium,sulfonates,0.457
XWPAo,CCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,0.566
XjcKJ,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.59375
XnYag,CCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,0.6
XoeGC,CCCCC[n+]1ccn(COC2CC(C)CCC2C(C)C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.906
Xqwxi,Cn1cc[n+](CC(CBr)N=[N+]=[N-])c1.N#C[N-]C#N,imidazolium,amides,0.3475
XsABr,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.733
YBXOI,CCCCCCCCCCC[n+]1ccn(COC2CC(C)CCC2C(C)C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.0899999999999999
YFqwP,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyrrolidinium,bistriflamides,0.58715
YIDYa,CC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,0.522
YfWbM,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.472
YjNvi,Cn1cc[n+](C)c1.COS(=O)(=O)[O-],imidazolium,sulfates,0.298
ZCCaa,CCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,0.5701
ZLUuH,CCCC[n+]1ccc(N(C)C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,0.611
ZNnDu,CCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,0.5691
ZNwnm,CCCCCC[n+]1cccc(C)c1.[Br-],pyridinium,inorganics,0.343
ZWQvH,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,imidazolium,sulfonates,0.368
ZhBOr,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,0.469
ZvGGB,CCCC[n+]1ccn(C)c1.[Br-],imidazolium,inorganics,0.296
aAdhh,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.702
aBrQE,CCCC[n+]1ccn(COC2CC(C)CCC2C(C)C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.868
aMuMi,CCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,0.594
aRIOU,CCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,0.43689999999999996
aTNXQ,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyrrolidinium,bistriflamides,0.55
aZWFd,CC[n+]1ccn(C)c1.CCOP(=O)([O-])OCC,imidazolium,organic phosphates,0.466
anhty,[NH3+]CCO.CC(O)C(=O)[O-],ammonium,carboxylates,0.272
apxYN,CCCCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,0.624
